"id","pos","name","team","matches","MV","FMV","goals","allowed","saved","penalties","scored","missed","assist","yellow","red","own","season"
460,"D","Romagnoli","Milan",32,6.27,6.28,2,0,0,0,0,0,0,5,1,1,"2018/2019"
464,"D","Florenzi","Roma",29,6.03,6.31,3,0,0,0,0,0,2,4,1,0,"2018/2019"
487,"D","De Silvestri","Torino",31,6,6.29,2,0,0,0,0,0,4,2,0,0,"2018/2019"
513,"D","Acerbi","Lazio",37,6.14,6.31,3,0,0,0,0,0,0,3,1,0,"2018/2019"
2130,"D","Hateboer","Atalanta",34,6.06,6.57,5,0,0,0,0,0,5,5,0,0,"2018/2019"
2160,"D","Gosens","Atalanta",28,6.18,6.54,3,0,0,0,0,0,2,2,0,0,"2018/2019"
2296,"D","Mancini","Atalanta",29,6.22,6.69,5,0,0,0,0,0,1,5,0,0,"2018/2019"
286,"D","Bonucci","Juventus",29,6.02,6.29,3,0,0,0,0,0,0,2,0,0,"2018/2019"
459,"D","Manolas","Roma",27,6.06,6.06,1,0,0,0,0,0,0,6,0,0,"2018/2019"
578,"D","Danilo Lar.","Bologna",35,6.01,6.04,1,0,0,0,0,0,0,4,0,0,"2018/2019"
695,"D","Toloi","Atalanta",21,6.07,6.19,1,0,0,0,0,0,3,1,1,1,"2018/2019"
2016,"D","Fazio","Roma",34,5.85,6.21,5,0,0,0,0,0,0,6,0,0,"2018/2019"
2197,"D","Castagne","Atalanta",27,6.04,6.5,4,0,0,0,0,0,2,3,0,0,"2018/2019"
2816,"D","Di Lorenzo","Empoli",37,6.03,6.41,5,0,0,0,0,0,3,8,0,0,"2018/2019"
295,"D","Asamoah","Inter",32,6.02,5.95,0,0,0,0,0,0,1,6,0,0,"2018/2019"
523,"D","Vrsaljko","Inter",9,6.06,6.17,0,0,0,0,0,0,2,2,0,0,"2018/2019"
2006,"D","Lirola","Sassuolo",35,5.99,6.21,2,0,0,0,0,0,7,2,0,2,"2018/2019"
2309,"D","Pezzella Ger.","Fiorentina",32,6.03,6.09,2,0,0,0,0,0,1,6,0,1,"2018/2019"
2310,"D","Cancelo","Juventus",24,6.1,6.19,1,0,0,0,0,0,2,6,0,0,"2018/2019"
2759,"D","Criscito","Genoa",35,6.01,6.1,2,0,0,1,1,0,4,12,1,0,"2018/2019"
253,"D","D'ambrosio","Inter",29,5.95,6.19,2,0,0,0,0,0,4,6,0,0,"2018/2019"
388,"D","Albiol","Napoli",19,5.79,5.84,1,0,0,0,0,0,0,4,0,0,"2018/2019"
492,"D","Silvestre","Empoli",34,5.84,5.87,2,0,0,0,0,0,0,6,0,1,"2018/2019"
708,"D","Felipe","SPAL",28,5.84,5.96,3,0,0,0,0,0,1,13,0,0,"2018/2019"
1895,"D","Ferrari G.","Sassuolo",31,5.97,6.21,4,0,0,0,0,0,0,9,0,0,"2018/2019"
2164,"D","Milenkovic","Fiorentina",34,5.93,6.06,3,0,0,0,0,0,0,7,1,0,"2018/2019"
2168,"D","Musacchio","Milan",29,6.02,6.09,1,0,0,0,0,0,0,2,0,0,"2018/2019"
2320,"D","Andersen","Sampdoria",32,6.02,5.91,0,0,0,0,0,0,0,7,0,0,"2018/2019"
2860,"D","Malcuit","Napoli",23,6.11,6.15,0,0,0,0,0,0,2,3,0,0,"2018/2019"
4332,"D","Demiral","Sassuolo",14,6.29,6.61,2,0,0,0,0,0,0,3,0,0,"2018/2019"
15,"D","Masiello","Atalanta",23,5.83,5.67,0,0,0,0,0,0,1,5,0,1,"2018/2019"
142,"D","Mario Rui","Napoli",19,5.82,5.87,1,0,0,0,0,0,1,4,1,0,"2018/2019"
252,"D","Biraghi","Fiorentina",36,5.89,6,1,0,0,0,0,0,5,8,0,0,"2018/2019"
390,"D","Ghoulam","Napoli",15,6,6.33,1,0,0,0,0,0,3,2,0,0,"2018/2019"
1864,"D","Bruno Alves","Parma",33,6.03,6.21,4,0,0,0,0,0,1,8,1,1,"2018/2019"
2169,"D","Rodriguez R.","Milan",35,5.84,5.83,0,0,0,0,0,0,2,5,0,0,"2018/2019"
2181,"D","Palomino","Atalanta",28,6.05,6.07,1,0,0,0,0,0,1,5,1,0,"2018/2019"
2261,"D","Vicari","SPAL",28,5.95,6.09,2,0,0,0,0,0,1,6,0,0,"2018/2019"
2315,"D","Stryger Larsen","Udinese",36,5.86,5.97,1,0,0,0,0,0,4,6,0,0,"2018/2019"
2746,"D","Dijks","Bologna",24,6,5.98,1,0,0,0,0,0,0,5,1,0,"2018/2019"
2865,"D","Aina","Torino",29,5.91,6.02,1,0,0,0,0,0,3,4,1,0,"2018/2019"
4307,"D","Romero","Genoa",27,6,6,2,0,0,0,0,0,1,10,2,0,"2018/2019"
73,"D","Gagliolo","Parma",34,5.87,5.68,0,0,0,0,0,0,1,7,0,2,"2018/2019"
140,"D","Hysaj","Napoli",25,5.76,5.76,0,0,0,0,0,0,2,4,0,0,"2018/2019"
224,"D","De Maio","Udinese",22,5.86,5.89,1,0,0,0,0,0,0,3,1,0,"2018/2019"
357,"D","Calabria","Milan",25,5.9,5.96,1,0,0,0,0,0,1,5,0,0,"2018/2019"
358,"D","De Sciglio","Juventus",20,6.02,6.02,0,0,0,0,0,0,1,2,0,0,"2018/2019"
790,"D","Samir","Udinese",21,5.88,6.05,2,0,0,0,0,0,1,7,0,0,"2018/2019"
1866,"D","Ceppitelli","Cagliari",24,5.92,5.81,1,0,0,0,0,0,1,5,2,1,"2018/2019"
1868,"D","Murru","Sampdoria",34,5.82,5.84,0,0,0,0,0,0,5,9,0,0,"2018/2019"
1869,"D","Pisacane","Cagliari",26,5.83,5.87,1,0,0,0,0,0,1,6,0,0,"2018/2019"
2083,"D","Biraschi","Genoa",34,5.81,5.68,0,0,0,0,0,0,0,3,1,1,"2018/2019"
2120,"D","Bastoni","Parma",21,5.95,6.05,1,0,0,0,0,0,0,2,0,0,"2018/2019"
2192,"D","Bonifazi","SPAL",27,5.94,6.13,2,0,0,0,0,0,0,2,0,0,"2018/2019"
2279,"D","Romagna","Cagliari",18,6.06,6,0,0,0,0,0,0,0,2,0,0,"2018/2019"
2280,"D","Nuytinck","Udinese",27,5.87,5.76,0,0,0,0,0,0,0,4,1,0,"2018/2019"
2749,"D","Srna","Cagliari",26,5.94,5.96,0,0,0,0,0,0,4,5,1,0,"2018/2019"
50,"D","Mbaye","Bologna",23,5.8,5.96,2,0,0,0,0,0,0,5,0,0,"2018/2019"
106,"D","Mattiello","Bologna",16,5.72,5.84,1,0,0,0,0,0,1,2,1,0,"2018/2019"
144,"D","Tonelli","Sampdoria",19,5.84,5.74,1,0,0,0,0,0,0,6,0,1,"2018/2019"
166,"D","Pasqual","Empoli",20,5.82,6.02,1,0,0,1,1,0,2,2,0,0,"2018/2019"
256,"D","Juan Jesus","Roma",18,5.78,5.72,1,0,0,0,0,0,0,4,0,1,"2018/2019"
257,"D","Miranda","Inter",14,5.82,5.71,0,0,0,0,0,0,0,3,0,0,"2018/2019"
294,"D","Rugani","Juventus",15,5.93,6.23,2,0,0,0,0,0,0,3,0,0,"2018/2019"
329,"D","Radu","Lazio",28,5.8,5.75,0,0,0,0,0,0,1,5,0,0,"2018/2019"
353,"D","Abate","Milan",18,6.06,5.94,0,0,0,0,0,0,0,4,0,0,"2018/2019"
491,"D","Salamon","Frosinone",20,5.82,5.75,0,0,0,0,0,0,0,3,0,0,"2018/2019"
519,"D","Gazzola","Parma",16,5.81,5.91,1,0,0,0,0,0,0,3,0,0,"2018/2019"
552,"D","Moretti","Torino",23,5.96,5.85,0,0,0,0,0,0,0,5,0,0,"2018/2019"
780,"D","Cionek","SPAL",30,5.77,5.58,0,0,0,0,0,0,2,12,2,0,"2018/2019"
787,"D","Djimsiti","Atalanta",22,5.84,5.86,1,0,0,0,0,0,1,3,0,1,"2018/2019"
1876,"D","Pajac","Empoli",13,6,6.35,2,0,0,0,0,0,1,5,0,0,"2018/2019"
1931,"D","Benatia","Juventus",5,6.3,6.1,0,0,0,0,0,0,0,2,0,0,"2018/2019"
1952,"D","Zampano","Frosinone",26,5.71,5.73,0,0,0,0,0,0,1,1,0,0,"2018/2019"
2062,"D","Bastos","Lazio",17,5.82,5.91,1,0,0,0,0,0,0,3,0,0,"2018/2019"
2116,"D","Farago'","Cagliari",24,5.83,5.81,1,0,0,0,0,0,1,7,1,0,"2018/2019"
2165,"D","Vitor Hugo","Fiorentina",29,5.88,5.76,0,0,0,0,0,0,1,7,1,0,"2018/2019"
2171,"D","Lyanco","Bologna",14,5.89,5.96,1,0,0,0,0,0,0,2,1,0,"2018/2019"
2285,"D","Bani","Chievo",30,5.65,5.43,0,0,0,0,0,0,0,7,1,1,"2018/2019"
2335,"D","Luiz Felipe","Lazio",17,5.94,6.06,1,0,0,0,0,0,1,4,0,0,"2018/2019"
2355,"D","Marlon","Sassuolo",18,5.69,5.72,1,0,0,0,0,0,0,3,1,0,"2018/2019"
2769,"D","Magnani","Sassuolo",18,6.11,6.11,0,0,0,0,0,0,1,2,0,0,"2018/2019"
2784,"D","Colley","Sampdoria",21,5.93,5.88,0,0,0,0,0,0,0,0,1,0,"2018/2019"
2801,"D","Iacoponi","Parma",38,5.71,5.66,0,0,0,0,0,0,0,4,0,0,"2018/2019"
2869,"D","Djidji","Torino",16,5.97,5.91,0,0,0,0,0,0,0,2,0,0,"2018/2019"
2870,"D","Troost-Ekong","Udinese",35,5.79,5.73,0,0,0,0,0,0,0,4,0,0,"2018/2019"
48,"D","Maietta","Empoli",21,5.62,5.5,0,0,0,0,0,0,0,5,0,0,"2018/2019"
54,"D","Rossettini","Chievo",21,5.55,5.43,0,0,0,0,0,0,0,5,0,0,"2018/2019"
99,"D","Cacciatore","Cagliari",14,5.86,5.89,0,0,0,0,0,0,2,3,0,0,"2018/2019"
134,"D","Barba","Chievo",30,5.6,5.45,0,0,0,0,0,0,0,5,2,0,"2018/2019"
254,"D","Dimarco","Parma",11,6.14,6.23,1,0,0,0,0,0,0,4,0,0,"2018/2019"
273,"D","Schelotto","Chievo",4,6,6,0,0,0,0,0,0,0,0,0,0,"2018/2019"
418,"D","Goldaniga","Frosinone",29,5.57,5.6,1,0,0,0,0,0,1,6,0,0,"2018/2019"
493,"D","Zukanovic","Genoa",24,5.69,5.58,0,0,0,0,0,0,0,5,0,0,"2018/2019"
515,"D","Ariaudo","Frosinone",19,5.76,5.61,0,0,0,0,0,0,0,2,0,1,"2018/2019"
517,"D","Dell'orco","Empoli",14,5.89,6.14,1,0,0,0,0,0,1,1,0,0,"2018/2019"
521,"D","Peluso","Sassuolo",16,5.62,5.66,1,0,0,0,0,0,0,5,0,0,"2018/2019"
522,"D","Terranova","Frosinone",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
550,"D","Maksimovic","Napoli",17,5.88,5.76,0,0,0,0,0,0,0,4,0,0,"2018/2019"
630,"D","Sala","Sampdoria",19,5.87,5.79,0,0,0,0,0,0,1,5,0,0,"2018/2019"
1847,"D","Caldara","Milan",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
1852,"D","Spinazzola","Juventus",9,6,6.11,0,0,0,0,0,0,1,0,0,0,"2018/2019"
1865,"D","Capuano","Frosinone",27,5.67,5.54,0,0,0,0,0,0,0,5,1,0,"2018/2019"
1891,"D","Ceccherini","Fiorentina",13,5.77,5.65,0,0,0,0,0,0,0,3,0,0,"2018/2019"
2064,"D","Veseli","Empoli",29,5.59,5.52,0,0,0,0,0,0,0,4,0,0,"2018/2019"
2104,"D","Bereszynski","Sampdoria",25,5.66,5.6,0,0,0,0,0,0,2,5,1,0,"2018/2019"
2208,"D","Jaroszynski","Chievo",19,5.63,5.58,0,0,0,0,0,0,0,2,0,0,"2018/2019"
2318,"D","Rogerio","Sassuolo",32,5.64,5.59,1,0,0,0,0,0,1,9,1,0,"2018/2019"
2535,"D","Cedric Soares","Inter",3,6.17,6.17,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2728,"D","Pellegrini Lu.","Cagliari",16,5.91,5.84,0,0,0,0,0,0,2,4,1,0,"2018/2019"
2795,"D","Ter Avest","Udinese",13,5.92,6,0,0,0,0,0,0,1,0,0,0,"2018/2019"
2871,"D","Klavan","Cagliari",15,5.9,5.83,0,0,0,0,0,0,0,2,0,0,"2018/2019"
11,"D","Conti","Milan",9,5.78,5.83,0,0,0,0,0,0,2,3,0,0,"2018/2019"
76,"D","Romagnoli S.","Empoli",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
100,"D","Cesar","Chievo",13,5.42,5.54,1,0,0,0,0,0,0,3,0,0,"2018/2019"
287,"D","Caceres","Juventus",12,5.79,5.75,0,0,0,0,0,0,0,1,0,0,"2018/2019"
356,"D","Antonelli","Empoli",12,5.83,5.88,0,0,0,0,0,0,1,1,0,0,"2018/2019"
365,"D","Zapata C.","Milan",12,6.08,5.92,0,0,0,0,0,0,0,4,0,0,"2018/2019"
419,"D","Gonzalez G","Bologna",11,5.73,5.73,0,0,0,0,0,0,1,2,0,0,"2018/2019"
551,"D","Molinaro","Frosinone",14,5.61,5.54,0,0,0,0,0,0,0,2,0,0,"2018/2019"
615,"D","Helander","Bologna",19,5.74,5.58,0,0,0,0,0,0,0,6,0,0,"2018/2019"
729,"D","Pereira P.","Genoa",20,5.52,5.5,0,0,0,0,0,0,0,1,0,0,"2018/2019"
2745,"D","Calabresi","Bologna",17,5.79,5.74,1,0,0,0,0,0,0,8,0,0,"2018/2019"
2782,"D","Marcano","Roma",10,5.55,5.55,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2831,"D","Djourou","SPAL",5,5.6,5.6,0,0,0,0,0,0,0,0,0,0,"2018/2019"
141,"D","Laurini","Fiorentina",13,5.81,5.65,0,0,0,0,0,0,0,4,0,0,"2018/2019"
169,"D","Tomovic","Chievo",10,5.6,5.85,1,0,0,0,0,0,0,1,0,0,"2018/2019"
194,"D","Ciofani M","Frosinone",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
