"id","name","p","d","c","a"
"319","Basta",0,1,0,0
"362","Simic S",0,1,0,0
"363","Vergara",0,1,0,0
"395","Strinic",0,1,0,0
"575","Adnan",0,1,0,0
"587","Wague",0,1,0,0
"1918","Diks",0,1,0,0
"2087","Olivera M.",0,1,0,0
"2129","Simic L",0,1,0,0
"2182","Rigione",0,1,0,0
"2216","Konate",0,1,0,0
"2300","Leverbe",0,1,0,0
"2312","Hristov",0,1,0,0
"2663","Tanasijevic",0,1,0,0
"2737","Bettella",0,1,0,0
"2740","Varnier",0,1,0,0
"2753","Marcjanik",0,1,0,0
"2757","Lakicevic",0,1,0,0
"2783","Bianda",0,1,0,0
"2834","Brignani",0,1,0,0
"2838","Imperiale",0,1,0,0
"2847","Sernicola",0,1,0,0
"4302","Sierralta",0,1,0,0
"177","Ilicic",0,0,1,1
"704","Perisic",0,0,1,0
"1996","De Paul",0,0,1,0
"467","Nainggolan",0,0,1,0
"2002","Chiesa",0,0,1,1
"645","Milinkovic-Savic",0,0,1,0
"771","Boateng",0,0,1,1
"2085","Luis Alberto",0,0,1,0
"469","Pjanic",0,0,1,0
"152","Zielinski",0,0,1,0
"367","Bonaventura",0,0,1,0
"495","Correa",0,0,1,1
"2200","Douglas Costa",0,0,1,0
"788","Freuler",0,0,1,0
"2194","Calhanoglu",0,0,1,0
"2306","Matuidi",0,0,1,0
"2378","Pastore",0,0,1,0
"2504","Can",0,0,1,0
"2775","Ruiz",0,0,1,0
"342","Parolo",0,0,1,0
"397","Allan",0,0,1,0
"2263","Lazzari",0,1,1,0
"28","Kurtic",0,0,1,0
"299","Khedira",0,0,1,0
"779","Cristante",0,0,1,0
"1850","Kessie",0,0,1,0
"2077","Pasalic",0,0,1,0
"2215","Veretout",0,0,1,0
"148","Krunic",0,0,1,0
"237","Perotti",0,0,1,0
"374","Poli",0,0,1,0
"376","Verdi",0,0,1,0
"530","Pellegrini Lo.",0,0,1,0
"556","Baselli",0,0,1,0
"644","Pulgar",0,0,1,0
"4322","Paqueta'",0,0,1,0
"111","Birsa",0,0,1,0
"184","Bernardeschi",0,0,1,0
"234","Kucka",0,0,1,0
"526","Duncan",0,0,1,0
"557","Benassi",0,0,1,0
"1870","Barella",0,0,1,0
"1874","Joao Pedro",0,0,1,1
"2065","Praet",0,0,1,0
"2287","Ramirez",0,0,1,0
"2639","Bakayoko",0,0,1,0
"2832","Boga",0,0,1,1
"2857","Traore' Hj.",0,0,1,0
"22","De Roon",0,0,1,0
"236","Lazovic",0,0,1,0
"265","Brozovic",0,0,1,0
"338","Lulic",0,0,1,0
"402","Hamsik",0,0,1,0
"621","Romulo",0,0,1,0
"697","Cuadrado",0,1,1,0
"713","Dzemaili",0,0,1,0
"1978","Sensi",0,0,1,0
"1986","Fofana",0,0,1,0
"2124","Zajc",0,0,1,0
"2617","Nzonzi",0,0,1,0
"2789","Meite'",0,0,1,0
"112","Castro",0,0,1,0
"150","Saponara",0,0,1,0
"181","Vecino",0,0,1,0
"238","Rincon",0,0,1,0
"463","De Rossi",0,0,1,0
"633","Fares",0,1,1,0
"801","Gagliardini",0,0,1,0
"827","Locatelli",0,0,1,0
"1967","Gerson",0,0,1,0
"2008","Linetty",0,0,1,0
"2209","Lucas Leiva",0,0,1,0
"2391","Ekdal",0,0,1,0
"2766","Zaniolo",0,0,1,0
"332","Candreva",0,0,1,0
"470","Strootman",0,0,1,0
"702","Giaccherini",0,0,1,0
"1933","Mandragora",0,0,1,0
"2009","Lukic",0,0,1,0
"2166","Bentancur",0,0,1,0
"2188","Marusic",0,1,1,0
"2205","Berenguer",0,0,1,0
"2625","Soriano",0,0,1,0
"2818","Bennacer",0,0,1,0
"202","Chibsah",0,0,1,0
"529","Missiroli",0,0,1,0
"555","Acquah",0,0,1,0
"627","Ionita",0,0,1,0
"651","Maiello",0,0,1,0
"1987","Jankto",0,0,1,0
"2105","Beghetto",0,0,1,0
"2172","Barak",0,0,1,0
"2187","Borini",0,0,1,0
"2265","Schiattarella",0,0,1,0
"2802","Barilla'",0,0,1,0
"21","D'alessandro",0,0,1,0
"115","Hetemaj",0,0,1,0
"170","Badelj",0,0,1,0
"172","Borja Valero",0,0,1,0
"207","Paganini",0,0,1,0
"264","Bessa",0,0,1,0
"331","Biglia",0,0,1,0
"333","Cataldi",0,0,1,0
"433","Hiljemark",0,0,1,0
"1995","Djuricic",0,0,1,0
"2003","Murgia",0,0,1,0
"2011","Miguel Veloso",0,0,1,0
"2078","Joao Mario N.",0,0,1,0
"2154","Vignato",0,0,1,1
"2243","Ciciretti",0,0,1,0
"2274","Valoti",0,0,1,0
"2302","Behrami",0,0,1,0
"2742","Valzania",0,0,1,0
"2771","Berisha V.",0,0,1,0
"2778","Stulac",0,0,1,0
"2804","Scozzarella",0,0,1,0
"2825","Bourabia",0,0,1,0
"2854","Bradaric F.",0,0,1,0
"2863","Fernandes",0,0,1,0
"4334","Piazon",0,0,1,0
"20","Cigarini",0,0,1,0
